품종,지역,측정 날짜,평균 당도,씨앗,산도,당산비,과일 갯수,평균 너비,장폭비,무게,평균 무게,색상,질감,껍질 두께,평균 씨앗 수,내부색상,내부색상,,과즙 무게,과즙 비율,평균길이,길이,너비,줄리안 날짜,대목,수령,당도1,당도2,산도1,산도2,평균 산도 측정
China S-7,Riverside,2006-10-23,9.4,,0.89,10.53,10,5.54,0.85,746,74.6,3,3.5,36,0,ORANGE,3,,297.6,39.89,4.69,N/A,N/A,296,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-7,Riverside,2006-10-23,9.4,,0.9,10.45,10,5.71,0.81,785.4,78.54,3.5,4,38,0.2,ORANGE,3,,340.8,43.39,4.62,N/A,N/A,296,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-7,Riverside,2005-10-24,9.4,,1.04,9.08,10,5.29,0.81,627.9,62.79,3.5,3,25,0.2,BRIGHT OR.,2,,286.2,45.58,4.27,N/A,N/A,297,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-7,Riverside,2005-10-24,9.9,,0.95,10.46,10,5.52,0.78,689.8,68.98,4,3,26,0.5,BRIGHT OR.,2,,323.7,46.93,4.29,N/A,N/A,297,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-7,Lindcove,2007-10-29,8.5,,1.05,8.12,10,5.16,0.84,634.3,63.43,3.6,1.5,31,0.8,"8 MED OR, 2 LT OR",3,,294.7,46.46,4.36,N/A,N/A,302,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-7,Lindcove,2007-10-29,8.3,,1.06,7.79,10,4.9,0.89,571.9,57.19,3.3,1.5,28,0.5,"9 MED OR, 1 LT OR",3,,289.9,50.69,4.34,N/A,N/A,302,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-7,Riverside,2009-11-09,10.95,,0.8,13.6,10,6.05,0.91,990.5,99.05,3.5,1.5,29,1.6,ORANGE,3,,432.8,43.7,5.5,N/A,N/A,313,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-7,Riverside,2009-11-09,10.35,,0.98,10.54,10,5.97,0.93,972,97.2,3.1,1.5,35,0.7,ORANGE,3,,414.3,42.62,5.58,N/A,N/A,313,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-7,Lindcove,2008-11-10,10.3,,0.85,12.14,10,4.87,1,723.5,72.35,5,2,30,0.9,BRIGHT OR.,2,,281.9,38.96,4.89,N/A,N/A,315,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-7,Lindcove,2008-11-10,9.3,,1,9.33,10,5.39,0.93,767,76.7,5,1,29,1.4,BRIGHT OR.,2,,324.3,42.28,5,N/A,N/A,315,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-7,Lindcove,2009-11-11,9.9,,0.88,11.22,10,6.08,0.79,953.9,95.39,4.5,3,26,0,BRIGHT OR.,2,,458.2,48.03,4.78,N/A,N/A,315,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-7,Lindcove,2009-11-11,7.7,,0.76,10.18,10,6.25,0.78,1024.2,102.42,4.5,3,40,0.6,BRIGHT OR.,2,,493.6,48.19,4.85,N/A,N/A,315,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-7,Riverside,2008-11-10,8.8,,0.7,12.56,10,5.88,0.78,836.1,83.61,4,3,31,0.4,BRIGHT OR.,2,,361.7,43.26,4.57,N/A,N/A,315,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-7,Riverside,2008-11-10,9,,0.79,11.37,10,5.9,0.75,834.6,83.46,5,3,33,0,BRIGHT OR.,2,,359,43.01,4.45,N/A,N/A,315,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-7,Riverside,2006-11-13,9,,0.8,11.24,10,5.31,0.88,671.3,67.13,4.7,5.5,36,0.1,10 MED OR,3,,260.1,38.75,4.65,N/A,N/A,317,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-7,Riverside,2006-11-13,9.9,,0.86,11.4,10,5.2,0.88,660.8,66.08,4.95,3.5,34,0.5,10 MED OR,3,,297.2,44.98,4.59,N/A,N/A,317,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-7,Riverside,2007-11-13,10.2,,1,10.21,10,6.68,0.85,1304.2,130.42,4.6,3,32,0.3,BRIGHT OR.,2,,585.2,44.87,5.71,N/A,N/A,317,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-7,Riverside,2007-11-13,10.3,,0.98,10.6,10,6.75,0.89,1336.1,133.61,4.1,3,33,0.8,BRIGHT OR.,2,,599.6,44.88,5.98,N/A,N/A,317,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-7,Riverside,2005-11-14,9.6,,0.98,11.4,10,6.7,0.78,1116.5,111.65,6,4,41,0.1,BRIGHT OR.,2,,481.5,43.13,5.25,N/A,N/A,318,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-7,Riverside,2005-11-14,9.7,,0.85,11.93,10,6.24,0.75,927.6,92.76,5.5,3.5,36,0.1,BRIGHT OR.,2,,426.6,45.99,4.7,N/A,N/A,318,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-7,Lindcove,2007-11-15,8.3,,0.65,12.62,10,5.82,0.91,815.1,81.51,5.5,3,30,1.1,BRIGHT OR.,2,,292.3,35.86,5.32,N/A,N/A,319,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-7,Lindcove,2007-11-15,8.3,,0.61,13.61,10,5.75,0.91,839.5,83.95,5.5,3,31,0.9,BRIGHT OR.,2,,347.1,41.35,5.26,N/A,N/A,319,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-7,Lindcove,2005-11-18,8.4,,0.76,11.07,10,6.39,0.74,923.2,92.32,8.5,3,44,0.5,BRIGHT OR.,2,,351.3,38.05,4.7,N/A,N/A,322,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-7,Lindcove,2005-11-18,8.7,,0.89,9.86,10,6.42,0.73,966,96.6,9,3,50,0.3,BRIGHT OR.,2,,422.3,43.72,4.69,N/A,N/A,322,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-8,Riverside ,2014-09-19,4.35,,0.65,6.76,10,5.94,0.85,917.9,91.79,3.5,3.5,40,1.4,"1 MED OR, 9 LT OR",2,,365.9,39.86,5.05,50.5,59.4,262,CZO,6,4.4,4.3,2.664,2.63,2.647
China S-8,Riverside ,2014-09-19,5.75,,1.37,4.17,10,6.24,0.91,1113.2,111.32,3,4,43,0.4,10 LT OR,2,,431.1,38.73,5.66,56.6,62.4,262,C-35,6,5.7,5.8,5.526,5.642,5.584
China S-8,Lindcove,2014-09-23,8.2,,1.3,6.3,10,5.75,0.94,890.2,89.02,3,4,47,0.4,10 GR OR,1,,375.6,42.19,5.43,54.3,57.5,266,CZO,5,8.2,8.2,5.37,5.37,5.37
China S-8,Lindcove,2014-09-23,6.8,,1.27,5.35,10,5.8,0.97,978.2,97.82,3,3,41,0.7,"9 GR OR , 1 LT OR",1,,378.1,38.65,5.6,56,58,266,C35,5,6.8,6.8,5.35,5.08,5.22
China S-8,Lindcove,2013-09-24,7.7,,1.37,5.64,10,5.86,0.89,992,99.2,3,5,20,1.2,10 LT OR,2,,370.8,37.38,5.22,57,58.6,267,CZO,4,7.7,7.7,5.71,5.54,5.63
China S-8,Lindcove,2013-09-24,8.3,,1.59,5.21,10,6.13,0.93,1117.1,111.71,3,4,21,1.5,10 V LT OR,2,,429.3,38.43,5.7,58.7,61.3,267,C35,4,8.3,8.3,6.51,6.66,6.59
China S-8,Riverside,2012-09-24,6.4,,1.24,5.16,10,6.11,0.86,989.4,98.94,3.1,4,19,0.4,10  LT OR,2,,437.4,44.21,5.24,52.4,61.1,268,CZO,4,6.4,6.4,5.07,5.1,5.08
China S-8,Riverside,2012-09-24,6.05,,1.21,5.03,10,5.75,0.86,850.2,85.02,3.2,4,20,0.2,10 LT OR,2,,359.3,42.26,4.94,49.4,57.5,268,C-35,4,6.1,6,4.92,5,4.96
China S-8,Lindcove,2012-09-24,7.65,,1.47,5.18,10,6.12,0.86,1025.9,102.59,3,4,29,2.2,10 LT OR,2,,378.2,36.87,5.26,52.6,61.2,268,CZO,3,7.6,7.7,6.07,6.02,6.05
China S-8,Lindcove,2012-09-24,8.3,,1.85,4.49,10,5.93,0.9,1001.1,100.11,3,4,23,1,10 LT OR,2,,398.4,39.8,5.33,53.3,59.3,268,C35,3,8.3,8.3,7.66,7.61,7.64
China S-8,Riverside,2013-09-26,8,,1.35,5.94,10,5.84,0.92,908.5,90.85,3,4,21,1.6,"2 MED OR, 8 LT OR",2,,347.2,38.22,5.37,53.7,58.4,269,C-35,5,8,8,5.61,5.49,5.55
China S-8,Riverside,2010-09-26,7.65,,0.98,7.73,5,5.14,0.89,318.9,63.78,3,3.5,16,3,"2 GR OR, 2 VLT OR, 1 LT OR",1,,137.3,43.05,4.6,23,25.7,269,CZO,2,7.6,7.7,4.01,4.09,4.05
China S-8,Riverside,2010-09-26,7.2,,1.43,5.02,5,5.56,0.91,390.8,78.16,3,3,18,1.6,"4 VLT OR, 1 LT OR",2,,157.7,40.35,5.06,25.3,27.8,269,C-35,2,7.2,7.2,5.82,5.98,5.9
China S-8,Lindcove,2011-09-26,7.75,,1.66,4.7,5,6.28,0.95,574.2,114.84,3,3.5,15,1.8,5 V LT OR,2,,217.4,37.86,5.98,29.9,31.4,269,CZO,2,7.8,7.7,6.8,6.86,6.83
China S-8,Lindcove,2011-09-26,6.6,,1.63,4.04,10,5.5,0.94,807.5,80.75,3,3,16,1.1,"9 V LT OR, 1 LT OR",2,,353.5,43.78,5.15,51.5,55,269,C35,2,6.6,6.6,6.8,6.6,6.7
China S-8,Lindcove,2011-09-26,7.95,,2.06,3.89,5,5.7,0.99,454.5,90.9,3,4,11,0.2,5 V LT OR,2,,187.1,41.17,5.64,28.2,28.5,269,CZO,2,8,7.9,8.33,8.62,8.48
China S-8,Lindcove,2011-09-26,7.5,,2,3.76,5,5.6,0.97,443.1,88.62,3,3.5,10,0,5 V LT OR,2,,191.1,43.13,5.44,27.2,28,269,CZO,2,7.5,7.5,8.28,8.15,8.21
China S-8,Riverside,2011-09-28,6.9,,1.04,6.62,10,5.67,1.05,825.4,82.54,3.6,3,42,0.1,"4 VLT OR, 6 LT OR",2,,393.3,47.65,5.95,59.5,56.7,271,CZO,3,6.9,6.9,4.3,4.26,4.28
China S-8,Riverside,2011-09-28,7.7,,1.1,6.99,10,5.48,0.86,759.9,75.99,4,2.5,20,0,"4 LT OR, 6 OR",3,,325.9,42.89,4.72,47.2,54.8,271,C-35,3,7.7,7.7,4.58,4.49,4.54
China S-8,Lindcove,2012-10-12,7.5,,0.75,9.97,10,6.57,0.89,853.8,85.38,3,6,30,1.5,10 MED OR,3,,440,51.53,5.86,58.6,65.7,286,CZO,3,7.5,7.5,3.15,3.04,3.1
China S-8,Lindcove,2012-10-12,6.65,,1.27,5.26,10,5.9,0.87,757.1,75.71,3,4,25,0.7,10 MED OR,3,,364.6,48.16,5.12,51.2,59,286,C35,3,6.7,6.6,5.29,5.15,5.22
China S-8,Lindcove,2014-10-13,7.8,,0.99,7.84,10,6.56,1.02,1363.3,136.33,3,6,54,0.6,"8 MED OR, 2 LT OR",3,,467.6,34.3,6.7,67,65.6,286,CZO,5,7.8,7.8,4.18,4.02,4.1
China S-8,Lindcove,2014-10-13,9.4,,1.13,8.31,10,6.5,0.97,1296,129.6,3.5,5,49,0.4,10 MED OR,3,,490.2,37.82,6.31,63.1,65,286,C35,5,9.4,9.4,4.72,4.66,4.69
China S-8,Riverside,2013-10-14,8.25,,1.13,7.34,10,6.23,0.87,1055.6,105.56,3,3,24,1.7,10 MED OR,3,,407.9,38.64,5.43,54.3,62.3,287,C-35,5,8.3,8.2,4.78,4.56,4.67
China S-8,Riverside,2014-10-14,5,,0.57,8.73,10,6.29,0.87,1066.2,106.62,4,4.5,42,0.3,10 LT OR,2,,388.3,36.42,5.46,54.6,62.9,287,CZO,6,5,5,2.35,2.32,2.34
China S-8,Riverside,2014-10-14,6.1,,0.84,7.28,10,6.47,0.92,1203.2,120.32,3.5,5,40,0.4,10 LT OR,2,,444.5,36.94,5.93,59.3,64.7,287,C-35,6,6.1,6.1,3.434,3.426,3.43
China S-8,Riverside,2012-10-15,6.75,,1.09,6.24,10,5.46,0.89,777.8,77.78,3.1,3.9,21,0.4,10 MED OR,3,,320.6,41.22,4.85,48.5,54.6,289,CZO,4,6.8,6.7,4.51,4.43,4.47
China S-8,Riverside,2012-10-15,6.5,,1.1,5.89,10,5.76,0.85,860.8,86.08,3,3.5,25,0.3,10 MED OR,3,,366.3,42.55,4.89,48.9,57.6,289,C-35,4,6.5,6.5,4.61,4.44,4.53
China S-8,Riverside,2010-10-17,8.1,,1.03,7.88,10,5.48,0.88,742.2,74.22,3,2.5,22,1.5,10 LT OR,2,,373.3,50.3,4.81,48.1,54.8,290,CZO,2,8.1,8.1,4.23,4.26,4.24
China S-8,Riverside,2010-10-17,7.3,,1.13,6.45,10,5.89,0.9,906.7,90.67,3.4,2,30,0.1,10 LT OR,2,,388.1,42.8,5.28,52.8,58.9,290,C-35,2,7.3,7.3,4.65,4.66,4.65
China S-8,Lindcove,2011-10-17,8.1,,1.01,8.01,7,6.33,0.97,831,118.71,2.1,3,16,0.29,7 MED OR,3,,298.1,35.87,6.14,43,44.3,290,CZO,2,8.1,8.1,4.18,4.17,4.17
China S-8,Lindcove,2011-10-17,7.65,,1.2,6.43,10,5.48,0.88,760.6,76.06,4,2.5,15,2.5,"9 MED OR, 1 LT OT",3,,380.5,50.03,4.81,48.1,54.8,290,C35,2,7.7,7.6,4.83,5.03,4.93
China S-8,Lindcove,2011-10-17,7.75,,1.14,6.75,10,5.97,0.95,1002.9,100.29,3.2,3,23,0.2,10 MED OR,3,,417.6,41.64,5.7,57,59.7,290,CZO,2,7.7,7.8,4.67,4.73,4.7
China S-8,Lindcove,2013-10-18,7.2,,0.91,7.9,10,6.23,0.93,1111.7,111.17,3,5,27,1.9,10 MED OR,3,,440.4,39.62,5.79,57.9,62.3,291,CZO,4,7.2,7.2,3.63,3.87,3.75
China S-8,Lindcove,2013-10-18,7.75,,1.2,6.52,10,6.4,0.92,1216.2,121.62,3,4,21,1.3,10 MED OR,3,,511.2,42.03,5.88,58.8,64,291,C35,4,7.8,7.7,5,4.85,4.93
China S-8,Riverside,2011-10-19,7.65,,0.86,8.96,10,6.27,0.84,1050.9,105.09,4,3,18,0.4,10 OR,3,,462.4,44,5.29,52.9,62.7,292,CZO,3,7.7,7.6,3.65,3.43,3.54
China S-8,Riverside,2011-10-19,7.2,,0.74,9.67,10,6.25,0.85,1063,106.3,4.8,3,29,0.3,10 OR,3,,469.3,44.15,5.33,53.3,62.5,292,C-35,3,7.2,7.2,3.05,3.07,3.06
China S-8,Riverside,2012-11-05,8.05,,0.88,9.18,10,6.06,0.84,929.9,92.99,4,5.5,20,0.5,10 MED OR,3,,317.1,34.1,5.09,50.9,60.6,310,CZO,4,8.1,8,3.57,3.71,3.64
China S-8,Riverside,2012-11-05,6.1,,0.77,8.1,10,6.93,0.83,1412.6,141.26,4.4,4,23,0.8,10 MED OR,3,,535.4,37.9,5.77,57.7,69.3,310,C-35,4,6.2,6,3.17,3.1,3.14
China S-8,Lindcove,2012-11-05,6.85,,1.06,6.49,10,6.37,0.87,1162.3,116.23,3,3.3,22,2,10 MED OR,3,,466,31.37,5.53,55.3,63.7,310,C35,3,6.9,6.8,4.34,4.39,4.36
China S-8,Riverside,2010-11-07,8.6,,0.7,12.28,5,5.2,0.82,313.3,62.66,5,2.5,14,0,5 MED OR,3,,131.5,41.97,4.28,21.4,26,311,CZO,2,8.6,8.6,2.9,2.89,2.9
China S-8,Riverside,2011-11-07,7.8,,0.69,11.25,10,6.79,0.89,1358.1,135.81,4.2,3.5,26,0.3,10 MED OR,3,,604.9,44.54,6.01,60.1,67.9,311,CZO,3,7.8,7.8,2.82,2.89,2.86
China S-8,Riverside,2011-11-07,7.75,,0.78,10.03,10,6.13,0.82,922.7,92.27,4.1,3,29,0,10 MED OR,3,,389.6,42.22,5.02,50.2,61.3,311,C-35,3,7.8,7.7,3.15,3.26,3.21
China S-8,Lindcove,2011-11-10,7.6,,0.89,8.53,10,5.84,0.92,901.9,90.19,3.6,3,25,0.9,10 MED OR,3,,359.4,39.85,5.36,53.6,58.4,314,C35,2,7.6,7.6,3.8,3.54,3.67
China S-8,Lindcove,2011-11-10,7.3,,0.86,8.47,10,6.23,0.9,1095.2,109.52,3.7,3.5,25,0.6,10 MED OR,3,,451.6,41.23,5.58,55.8,62.3,314,CZO,2,7.3,7.3,3.49,3.6,3.55
China S-8,Riverside,2014-11-10,6.6,,0.51,12.92,10,7.02,0.8,1257,125.7,6,3,37,2.8,10 MED OR,3,,367.3,29.22,5.64,56.4,70.2,314,CZO,6,6.6,6.6,2.1,2.09,2.1
China S-8,Riverside,2014-11-10,5.6,,0.67,8.31,10,7.31,0.84,1441.2,144.12,6,3,36,0.3,10 MED OR,3,,446.7,31,6.12,61.2,73.1,314,C-35,6,5.6,5.6,2.81,2.7,2.75
China S-8,Riverside,2013-11-11,9.65,,0.97,9.85,10,6.16,0.85,964.5,96.45,6,3,23,0.1,10 MED OR,3,,351.9,36.49,5.22,52.2,61.6,315,C-35,5,9.6,9.7,4,4.09,4.05
China S-8,Lindcove,2013-11-11,8.4,,0.73,11.53,10,6.5,0.91,1255.4,125.54,4,4,31,1.2,10 MED OR,3,,455.1,40.72,5.9,59,65,315,CZO,4,8.4,8.4,2.94,3.08,3.01
China S-8,Lindcove,2013-11-11,9.25,,1.02,9.15,10,6.64,0.86,1260.7,126.07,5,4,30,1.4,10 MED OR,3,,463.3,36.1,5.74,57.4,66.4,315,C35,4,9.3,9.2,4.13,4.3,4.21
China S-8,Lindcove,2014-11-19,5.5,,0.67,8.16,10,6.7,0.89,1247,43.16,5,4,50,0.1,MED OR,3,,431.6,34.61,5.96,59.6,67,323,CZO,5,5.5,5.5,2.78,2.72,2.75
China S-8,Lindcove,2014-11-19,7,,0.94,7.46,10,6.56,0.9,1197.1,46.6,6,3.5,45,0.3,MED OR,3,,466,38.93,5.88,58.8,65.6,323,C35,5,7,7,3.89,3.82,3.86
China S-9,Riverside ,2012-09-24,9.65,,1.06,9.03,10,5.6,0.93,803,80.3,4,2,22,1,10 MED OR,3,,388.1,48.33,5.21,52.1,56,268,CZO,10,9.6,9.7,4.356,4.468,4.412
China S-9,Lindcove ,2012-09-24,8.8,,1.45,6.06,10,6.32,0.93,1216.7,121.67,3.5,3,19,0,10 MED OR,3,,553,45.45,5.88,58.8,63.2,268,C35,6,8.8,8.8,6.11,5.91,6.01
China S-9,Lindcove ,2011-09-26,6.7,,0.85,7.85,10,3.31,0.96,704.4,70.44,3.2,2,15,0,5 LT OR,2,,314.1,44.59,3.19,31.9,33.1,269,CZO,5,6.7,6.7,3.44,3.56,3.5
China S-9,Lindcove ,2011-09-26,8.2,,1.36,6.03,10,6.85,0.97,1532.1,153.21,3,3,30,0,"7 LT OR, 3 OR",2,,746.5,48.72,6.65,66.5,68.5,269,C35,5,8.2,8.2,5.72,5.5,5.61
China S-9,Riverside,2013-09-26,8.75,,0.93,9.34,10,6.56,0.85,1254.5,125.45,4,3,11,0.5,10 MED OR,3,,514.4,41,5.58,55.8,65.6,269,CZO,2,8.7,8.8,3.89,3.82,3.86
China S-9,Riverside ,2013-09-26,8.45,,0.92,9.13,10,7.08,1.02,1740,174,4,4,19,0.2,10 MED OR,3,,745.5,42.84,7.23,72.3,70.8,269,CZO,11,8.4,8.5,3.85,3.76,3.8
China S-9,Riverside ,2011-09-28,7.5,,0.96,7.84,10,6.1,0.98,1077.4,107.74,3.5,3,30,0.2,"3 LT OR, 7 OR",3,,476.3,44.21,5.98,59.8,61,271,CZO,9,7.5,7.5,4,3.876,3.938
China S-9,Riverside ,2011-09-28,9.15,,1.12,8.19,10,5.38,0.97,741.2,74.12,4,2.5,28,0.3,"9 LT OR, 1 OR",2,,342.3,46.18,5.22,52.2,53.8,271,CZO,9,9.2,9.1,4.638,4.672,4.655
China S-9,Lindcove ,2010-09-29,9,,1.25,7.21,10,5.92,0.92,1041.5,104.15,3.6,2.5,29,0,"6 MED OR, 4 LT OR",3,,474.4,45.55,5.43,54.3,59.2,272,C35,4,9,9,5.18,5.16,5.17
China S-9,Lindcove ,2012-10-12,9.05,,1.18,7.68,10,7.16,0.95,1238,123.8,3.6,4,19,0.2,10 MED OR,3,,707.1,57.12,6.78,67.8,71.6,286,C35,6,9.1,9,4.86,4.95,4.91
China S-9,Riverside,2013-10-14,8.6,,0.65,13.32,10,7.21,0.89,1624.8,162.48,4,3,20,1.7,10 MED OR,3,,715.9,44.06,6.4,64,72.1,287,CZO,2,8.6,8.6,2.63,2.71,2.67
China S-9,Riverside,2013-10-14,7.65,,0.75,10.17,10,7.58,1,2070.6,207.06,4,3,21,1,10 MED OR,3,,890.3,43,7.59,75.9,75.8,287,CZO,11,7.6,7.7,3.15,3.01,3.08
China S-9,Riverside ,2012-10-15,9.7,,0.92,10.56,10,5.62,0.88,798.3,79.83,5,3.5,18,0.5,10 MED OR,3,,377.4,47.28,4.92,49.2,56.2,289,CZO,10,9.7,9.7,3.882,3.746,3.814
China S-9,Lindcove ,2010-10-17,7.65,,0.76,9.94,10,3.53,0.96,817.8,81.78,5,1.5,17,0,5 MED OR,3,,358.4,43.82,3.38,33.8,35.3,290,C35,4,7.6,7.7,3.25,3.05,3.15
China S-9,Lindcove ,2010-10-17,9.1,,0.89,10.27,10,5.36,0.93,763.2,76.32,4.7,1.5,29,0,10 MED OR,3,,409.1,53.6,5,50,53.6,290,C35,4,9.1,9.1,3.71,3.63,3.67
China S-9,Lindcove ,2011-10-17,6.8,,0.77,8.87,10,4.61,0.96,1222.4,122.24,1.8,3.5,31,0,6 MED OR,3,,550.5,45.03,4.41,44.1,46.1,290,CZO,5,6.8,6.8,3.09,3.2,3.15
China S-9,Lindcove ,2011-10-17,8.6,,0.98,8.76,10,7.55,0.95,1939.1,193.91,3.5,3,17,0.3,10 MED OR,3,,942.3,48.59,7.15,71.5,75.5,290,C35,5,8.6,8.6,4.1,4.02,4.06
China S-9,Riverside ,2011-10-19,9.3,,0.8,11.59,10,6.41,0.98,1250.1,125.01,4,3,13,0.3,10 MED OR,3,,624.9,49.99,6.3,63,64.1,292,CZO,9,9.3,9.3,3.324,3.332,3.328
China S-9,Riverside ,2011-10-19,9.8,,0.96,10.22,10,5.86,0.97,967.7,96.77,4,2.5,14,0.2,10 MED OR,3,,508.6,52.56,5.71,57.1,58.6,292,CZO,9,9.8,9.8,4.022,3.942,3.982
China S-9,Riverside ,2012-11-05,9.65,,0.82,11.88,10,5.47,0.91,749.9,74.99,10,3,19,1.2,10 MED OR,3,,353.2,47.1,4.96,49.6,54.7,310,CZO,10,9.7,9.6,3.618,3.162,3.39
China S-9,Lindcove ,2012-11-05,7.95,,0.87,9.17,10,7.19,0.88,1662.7,166.27,6,3.8,19,0,10 MED OR,3,,702.5,21.24,6.33,63.3,71.9,310,C35,6,8,7.9,3.66,3.54,3.6
China S-9,Riverside ,2010-11-07,11.5,,0.68,16.89,10,5.57,0.91,747.5,74.75,10,2,34,4.3,10 MED OR,3,,342.9,45.87,5.08,50.8,55.7,311,CZO,8,11.5,11.5,2.826,2.872,2.849
China S-9,Riverside ,2011-11-07,8.8,,0.64,13.79,10,5.73,0.98,894.8,89.48,4,2.5,29,0,10 MED OR,3,,457.8,51.16,5.61,56.1,57.3,311,CZO,9,8.8,8.8,2.666,2.616,2.641
China S-9,Riverside ,2011-11-07,10,,0.83,12.05,10,6.95,0.93,1564.3,156.43,4.4,3,30,0.4,10 MED OR,3,,695.4,44.45,6.45,64.5,69.5,311,CZO,9,10,10,3.466,3.438,3.452
China S-9,Lindcove,2010-11-07,13.1,,0.79,16.68,10,5.48,1,743.7,74.37,8.3,1.5,28,0.1,"7 MED OR, 3 LT OR",3,,349.4,46.98,5.48,54.8,54.8,311,C35,4,13.1,13.1,3.28,3.33,3.31
China S-9,Lindcove ,2010-11-07,11.35,,0.7,16.06,10,5.69,1.07,1281.7,128.17,6.7,2,33,0,10 MED OR,3,,598.4,46.69,6.07,60.7,56.9,311,C35,4,11.3,11.4,2.98,2.9,2.94
China S-9,Lindcove ,2011-11-10,8.45,,0.86,9.86,10,8.72,0.94,2864.1,286.41,4.6,3.5,31,0,10 MED OR,3,,1184.8,41.37,8.2,82,87.2,314,C35,5,8.5,8.4,3.54,3.58,3.56
China S-9,Riverside ,2013-11-11,9.9,,0.59,16.82,10,7.72,0.82,1918.2,191.82,10,3,13,0.4,10 MED OR,3,,683.9,35.65,6.36,63.6,77.2,315,CZO,11,9.9,9.9,2.38,2.51,2.45
China S-9,Riverside,2004-09-20,8.5,,1.08,7.84,10,7.1,0.96,1646.4,164.64,4,2.5,35,0.3,ORANGE,3,,763.3,46.36,6.84,68.4,71,264,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-9,Riverside,2004-09-20,7.8,,1.14,6.87,10,6.94,0.99,1521.3,152.13,4,3,37,1.5,ORANGE,3,,664.7,43.69,6.85,68.5,69.4,264,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-9,Riverside,2009-09-25,7.2,,0.55,13.02,10,5.55,0.93,820.6,82.06,4,2,28,0.9,10 MED OR,3,,357.5,43.57,5.15,51.5,55.5,268,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-9,Riverside,2009-09-25,9.2,,0.9,10.26,10,5.47,0.93,794.1,79.41,4,2,25,1.3,10 MED OR,3,,390.7,49.2,5.1,51,54.7,268,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-9,Lindcove,2009-09-28,9.8,,1.1,8.95,10,7.08,0.94,1677.6,167.76,3.9,3,42,0.2,10 MED OR,3,,752.5,44.86,6.63,66.3,70.8,271,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-9,Lindcove,2009-09-28,9.65,,0.75,12.94,10,6.48,0.92,1250.9,125.09,4,2,34,0.2,10 MED OR,3,,528,42.21,5.99,59.9,64.8,271,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-9,Lindcove,2009-09-28,7.8,,0.8,9.75,10,8.1,0.96,2460.2,246.02,3.7,4,44,0,10 MED OR,3,,973.4,39.57,7.8,78,81,271,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-9,Lindcove,2009-09-29,8.1,,0.89,9.13,10,7.4,0.95,1913.8,191.38,3.3,1.5,35,0.9,ORANGE,3,,808.9,42.27,7.05,70.5,74,272,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-9,Lindcove,2009-09-29,9.1,,0.99,9.19,10,6.48,0.87,1266.3,126.63,4,1,27,0.9,BR. ORANGE,2,,630.5,49.79,5.63,56.3,64.8,272,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-9,Riverside,2008-09-29,10.6,,0.74,14.49,10,6.24,0.94,1115.7,111.57,4,2.5,31,1.1,BR. ORANGE,2,,525.3,47.08,5.84,58.4,62.4,273,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-9,Riverside,2008-09-29,9.4,,0.75,12.6,10,6.3,0.94,1158.4,115.84,3.8,1.5,30,2.4,BR. ORANGE,2,,564.8,48.76,5.91,59.1,63,273,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-9,Riverside,2007-10-01,9.9,,0.95,10.41,10,5.74,0.94,864.8,86.48,5,3,31,1,BR. ORANGE,2,,363.8,42.07,5.38,53.8,57.4,274,N/A,N/A,N/A,N/A,N/A,N/A,N/A
