품종,지역,측정 날짜,평균 당도,씨앗,산도,당산비,과일 갯수,평균 너비,장폭비,무게,평균 무게,색상,질감,껍질 두께,평균 씨앗 수,내부색상,내부색상,,과즙 무게,과즙 비율,평균길이,길이,너비,줄리안 날짜,대목,수령,당도1,당도2,산도1,산도2,평균 산도 측정
China S-1,Lindcove,2011-10-17,8.3,,0.78,10.6,10,5.48,1.09,1318.6,131.86,3.9,2.5,10,0.9,10 MED OR,3,,706.1,53.55,5.98,59.8,54.8,290,CZO,3,8.3,8.3,3.24,3.23,3.24
China S-1,Lindcove,2011-10-17,6.4,,0.64,10.02,10,6.62,0.91,1361,136.1,4,2.5,18,0.2,10 MED OR,3,,700,51.43,6.02,60.2,66.2,290,C35,4,6.4,6.4,2.68,2.56,2.62
China S-1,Lindcove,2013-10-18,4.85,,0.72,6.69,10,6.47,0.96,1357,135.7,4,3,11,0.2,10 MED OR,3,,627.8,46.26,6.23,62.3,64.7,291,CZO,5,4.8,4.9,3.02,2.82,2.92
China S-1,Lindcove ,2013-10-18,7.95,,0.76,10.56,10,7.3,0.96,1803,180.3,4,4,32,0.1,10 MED OR,3,,686.8,38.09,7.01,70.1,73,291,C35,6,8,7.9,3.05,3.2,3.13
China S-1,Lindcove,2009-10-19,8.3,,0.66,12.65,10,6.49,0.89,1189.7,118.97,5.7,1.5,35,0,10 MED OR,3,,576,48.42,5.76,57.6,64.9,292,C35,2,8.3,8.3,2.61,2.81,2.71
China S-1,Lindcove,2009-10-19,8.65,,0.62,13.95,10,5.08,0.93,630.4,63.04,4,1,21,0.9,"6 LT OR, 4 MED OR",2,,304.5,48.3,4.7,47,50.8,292,CZO,3,8.7,8.6,2.54,2.62,2.58
China S-1,Lindcove,2009-10-19,8.7,,0.6,14.53,10,5.36,0.91,766.6,76.66,4.4,1.5,25,0,10 MED OR,3,,404,52.7,4.89,48.9,53.6,292,CZO,3,8.7,8.7,2.45,2.51,2.48
China S-1,Riverside,2011-10-19,8.55,,0.77,11.02,10,5.8,0.95,956.4,95.64,4,2,12,0.1,10 OR,3,,493.5,51.6,5.49,54.9,58,292,CZO,4,8.5,8.6,3.28,3.1,3.19
China S-1,Riverside,2011-10-19,9.15,,0.71,12.78,10,6,0.89,1000.5,100.05,4.6,2.5,10,0,10 OR,3,,550.7,55.04,5.35,53.5,60,292,CZO,4,9.1,9.2,2.91,2.99,2.95
China S-1,Riverside,2008-10-19,6.65,,0.57,11.85,10,7.16,0.94,1796.3,179.63,3.8,2.5,34,0.4,10 LT OR,2,,779.2,43.38,6.7,67,71.6,293,CZO,2,6.7,6.6,2.29,2.34,2.32
China S-1,Riverside,2008-10-19,6.85,,0.52,13.2,10,6.53,0.89,1286.2,128.62,4.1,1,36,0.2,"6 LT OR, 4 MED OR",2,,539.8,41.97,5.79,57.9,65.3,293,CZO,2,6.9,6.8,2.16,2.13,2.15
China S-1,Riverside  ,2012-11-05,8.25,,0.52,15.98,10,6.63,0.98,1301.7,130.17,10.2,4.8,15,0.1,10 MED OR,3,,430.8,33.1,6.5,65,66.3,310,CZO,5,8.3,8.2,2.17,2.12,2.15
China S-1,Riverside ,2012-11-05,9.5,,0.52,18.13,10,5.84,0.92,872.6,87.26,10.5,4,14,0.2,10 MED OR,3,,299.5,34.32,5.4,54,58.4,310,CZO,5,9.5,9.5,2.13,2.22,2.17
China S-1,Lindcove  ,2012-11-05,5.75,,0.64,9.13,10,6.33,0.89,1220.4,122.04,6,3,15,0.1,10 MED OR,3,,569.6,42.03,5.66,56.6,63.3,310,CZO,4,5.8,5.7,2.55,2.64,2.6
China S-1,Lindcove  ,2012-11-05,6.85,,0.72,9.57,10,7.07,0.9,1591.7,159.17,8,3.9,13,0.2,10 MED OR,3,,737.5,35.79,6.38,63.8,70.7,310,C35,5,6.9,6.8,3.03,2.89,2.96
China S-1,Riverside,2011-11-07,8.95,,0.71,12.61,10,5.78,0.94,915.2,91.52,4.6,2.5,20,0,10 MED OR,3,,465.6,50.87,5.42,54.2,57.8,311,CZO,4,9,8.9,3.03,2.88,2.96
China S-1,Riverside,2011-11-07,7.7,,0.56,13.82,10,5.97,0.88,934.6,93.46,5.9,2.5,14,0.2,10 MED OR,3,,467.3,50,5.26,52.6,59.7,311,CZO,4,7.7,7.7,2.33,2.26,2.3
China S-1,Riverside,2009-11-09,9.4,,0.69,13.61,6,7.33,0.9,1082.1,180.35,3.3,2,23,0.33,6 MED OR,6 3,,539,49.81,6.63,39.8,44,313,CZO,2,9.4,9.4,2.85,2.88,2.87
China S-1,Riverside,2009-11-09,5.8,,0.46,12.74,10,6.46,0.94,1242,124.2,4,1.5,39,0.1,10 MED OR,3,,516.6,41.59,6.07,60.7,64.6,313,CZO,2,5.8,5.8,1.86,1.86,1.86
China S-1,Lindcove,2011-11-10,9,,0.54,16.73,10,6.92,0.86,1406.3,140.63,5.4,2.5,20,0.4,10 MED OR,3,,554.1,39.4,5.92,59.2,69.2,314,CZO,3,9,9,2.31,2.14,2.23
China S-1,Lindcove,2011-11-10,8.1,,0.56,14.54,10,7.15,0.9,1516.4,151.64,6.3,2.5,30,0,10 MED OR,3,,500.5,33.01,6.4,64,71.5,314,C35,4,8.1,8.1,2.26,2.33,2.3
China S-1,Riverside ,2013-11-11,10.3,,0.6,17.27,10,6.4,0.95,1166.3,116.63,11,3,14,0.3,10 MED OR,3,,446.2,38.26,6.05,60.5,64,315,CZO,6,10.3,10.3,2.46,2.51,2.48
China S-1,Riverside ,2013-11-11,10.55,,0.73,14.54,10,5.95,0.95,957,95.7,11,3,14,0.2,10 MED OR,3,,391.6,40.92,5.65,56.5,59.5,315,CZO,6,10.6,10.5,2.96,3.11,3.04
China S-1,Lindcove,2013-11-11,8.7,,0.57,15.18,10,6.9,0.96,1496.4,149.64,11,3,21,0.3,10 MED OR,3,,535.8,45.9,6.65,66.5,69,315,CZO,5,8.7,8.7,2.35,2.39,2.37
China S-1,Lindcvoe ,2013-11-11,8.3,,0.62,13.49,10,6.84,0.92,1462.5,146.25,11,4,20,0.3,10 MED OR,3,,552.4,36.64,6.3,63,68.4,315,C35,6,8.3,8.3,2.48,2.6,2.54
China S-2,Riverside,2004-09-20,8.1,,1.71,4.64,5,7,0.96,764.5,152.9,3.5,3.5,26,1.8,LT. ORANGE,2,,323.7,42.34,6.74,N/A,N/A,264,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Riverside,2004-09-20,8.4,,1.77,4.74,10,6.61,0.93,1296.1,129.61,3.5,3.5,50,1.3,LT. ORANGE,2,,556.1,42.91,6.16,N/A,N/A,264,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Riverside,2009-09-25,8.85,,1.592,5.529,10,5.32,0.92,717.4,71.74,3.8,2,38,0.5,"2 MED OR, 5 GR OR, 3 V LT OR",2,,294.6,41.06,4.9,N/A,N/A,268,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Riverside,2009-09-25,9.2,,1.452,6.337,10,5.65,0.9,827.5,82.75,4,2,32,0.8,10 LT OR,2,,320.3,38.71,5.07,N/A,N/A,268,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Lindcove,2009-09-28,9.55,,1.782,5.33,10,6.11,0.95,1086.8,108.68,3.8,2.5,45,0.2,"9 MED OR, 1 LT OR",3,,519.1,47.76,5.78,N/A,N/A,271,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Lindcove,2009-09-28,9.4,,1.853,5.074,10,6.27,0.93,1125.2,112.52,3.7,3,45,0.5,"6 MED OR, 4 LT OR",3,,474.8,42.2,5.8,N/A,N/A,271,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Lindcove,2009-09-28,7.85,,1.181,6.604,10,7.22,1,1771.7,177.17,3,4.5,66,0,10 V LT OR,2,,583.8,32.95,7.2,N/A,N/A,271,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Lindcove,2009-09-28,9.25,,1.952,4.763,10,6.24,0.97,1206.7,120.67,3.2,3,44,0,10 V LT OR,2,,483.8,40.09,6.05,N/A,N/A,271,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Lindcove,2008-09-29,6.2,,1.316,4.748,10,6.42,0.95,1282.6,128.26,3.3,3,42,0.2,YEL. ORANGE,2,,581,45.3,6.09,N/A,N/A,273,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Lindcove,2008-09-29,6.9,,1.274,5.417,10,6.61,0.95,1328.3,132.83,3.3,3,39,0,YEL. ORANGE,2,,528.2,39.77,6.26,N/A,N/A,273,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Riverside,2008-09-29,8.8,,1.17,7.523,10,6.15,0.95,1129.9,112.99,3.6,3,28,1.5,PALE ORANGE,1,,522.3,46.23,5.85,N/A,N/A,273,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Riverside,2008-09-29,8.7,,1.041,8.314,10,6.32,0.93,1150,115,3.9,4,43,2.4,ORANGE,3,,458,39.83,5.9,N/A,N/A,273,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Riverside,2007-10-01,8.8,,1.55,5.69,10,6.17,0.95,1056.4,105.64,4,4,45,2.6,BRT. ORANGE,2,,410.5,38.86,5.85,N/A,N/A,274,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Riverside,2007-10-01,6.8,,1.42,4.78,10,6.53,0.94,1202.2,120.22,4,4,45,1.6,BRT. ORANGE,2,,454.9,37.84,6.17,N/A,N/A,274,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Lindcove,2006-10-02,10.3,,1.71,6.02,10,6.94,0.86,1390,139,3,4,52,0.2,80% LT. OR.,2,,484.3,34.84,5.97,N/A,N/A,275,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Lindcove,2006-10-02,9.5,,2.21,4.28,10,7.4,0.87,1658,165.8,3,4.5,57,0.7,50% LT. OR.,3,,621.3,37.47,6.42,N/A,N/A,275,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Riverside,2006-10-02,9,,1.46,6.2,10,6.69,0.85,1219.2,121.92,3.5,3.5,48,0.9,ORANGE,3,,570.9,46.83,5.69,N/A,N/A,275,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Riverside,2006-10-02,8,,1.59,5.03,10,6.84,0.85,1346.4,134.64,3,4,49,0.4,ORANGE,3,,608.7,45.21,5.81,N/A,N/A,275,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Riverside,2005-10-03,8.8,,1.27,6.94,10,6.94,0.82,1358.4,135.84,3.4,4,47,0,BRT. ORANGE,2,,568.5,41.85,5.69,N/A,N/A,276,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Riverside,2005-10-03,9.5,,1.64,5.82,10,6.73,0.86,1271.9,127.19,3.5,3.5,50,0.3,BRT. ORANGE,2,,549.5,43.2,5.76,N/A,N/A,276,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Lindcove,2005-10-06,8.2,,1.83,4.52,10,6.19,0.87,1055.6,105.56,3.5,4,43,0.4,ORANGE,3,,515.2,48.81,5.37,N/A,N/A,279,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Lindcove,2006-10-17,10.2,,1.4,7.33,10,6.92,0.83,1380.6,138.06,4,4,45,0,BRT. ORANGE,2,,632.4,45.81,5.73,N/A,N/A,290,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Lindcove,2006-10-17,8.8,,1.57,5.56,10,6.99,0.9,1518.4,151.84,4,5,52,0,BRT. ORANGE,2,,652.6,42.98,6.31,N/A,N/A,290,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Lindcove,2009-10-19,9.65,,1.362,7.12,10,6.65,0.9,1278.8,127.88,4.8,4,43,0,10 MED OR,3,,763.8,59.73,6,N/A,N/A,292,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Lindcove,2009-10-19,9.6,,1.444,6.649,10,6.74,0.89,1361.1,136.11,4.4,5,44,0.1,10 MED OR,3,,584.6,42.95,6.03,N/A,N/A,292,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Lindcove,2009-10-19,8.75,,1.379,6.382,10,7.65,0.91,1954.7,195.47,3.5,6,55,0,10 MED OR,3,,788.6,40.34,6.98,N/A,N/A,292,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Lindcove,2005-10-20,9,,1.45,6.24,10,6.96,0.86,1460.6,146.06,4,5,46,0.6,MED. ORANGE,3,,611.8,41.89,6.02,N/A,N/A,293,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Riverside,2008-10-19,8.6,,1.098,7.831,10,6.38,0.92,1016.7,101.67,3.6,2,43,1.4,"2 LT OR, 8 MED OR",3,,488,48,5.89,N/A,N/A,293,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Riverside,2008-10-19,9.05,,1.259,7.229,10,5.93,0.9,949,94.9,4,2,42,1.5,10 MED OR,3,,435.6,45.9,5.32,N/A,N/A,293,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Lindcove,2008-10-20,8.5,,1.37,6.166,10,7.66,0.89,1902.4,190.24,3.7,3.5,42,0.5,ORANGE,3,,792.6,41.66,6.8,N/A,N/A,294,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Lindcove,2008-10-20,8.5,,1.261,6.739,10,7.12,0.9,1615,161.5,3.6,3,44,2,ORANGE,3,,665.5,41.21,6.41,N/A,N/A,294,N/A,N/A,N/A,N/A,N/A,N/A,N/A
China S-2,Riverside,2008-10-20,8.6,,1.378,6.242,10,7.16,0.89,1586.9,158.69,3.4,3,39,1.6,ORANGE,3,,704.7,44.41,6.36,N/A,N/A,294,N/A,N/A,N/A,N/A,N/A,N/A,N/A
